TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K2 2020K2;U Ugift;410 Middelfart;16597
2020K2 2020K2;U Ugift;480 Nordfyns;12698
2020K2 2020K2;U Ugift;450 Nyborg;13805
2020K2 2020K2;U Ugift;461 Odense;112889
2020K2 2020K2;U Ugift;479 Svendborg;26305
2020K2 2020K2;U Ugift;492 Ærø;2186
2020K2 2020K2;U Ugift;530 Billund;11761
2020K2 2020K2;U Ugift;561 Esbjerg;55260
2020K2 2020K2;U Ugift;563 Fanø;1260
2020K2 2020K2;U Ugift;607 Fredericia;23782
2020K2 2020K2;U Ugift;510 Haderslev;24875
2020K2 2020K2;U Ugift;621 Kolding;45042
2020K2 2020K2;U Ugift;540 Sønderborg;32126
2020K2 2020K2;U Ugift;550 Tønder;15832
2020K2 2020K2;U Ugift;573 Varde;21756
2020K2 2020K2;U Ugift;575 Vejen;19270
2020K2 2020K2;U Ugift;630 Vejle;54816
2020K2 2020K2;U Ugift;580 Aabenraa;25286
2020K2 2020K2;U Ugift;082 Region Midtjylland;655252
2020K2 2020K2;U Ugift;710 Favrskov;21808
2020K2 2020K2;U Ugift;766 Hedensted;20343
2020K2 2020K2;U Ugift;615 Horsens;44498
2020K2 2020K2;U Ugift;707 Norddjurs;16349
2020K2 2020K2;U Ugift;727 Odder;9640
2020K2 2020K2;U Ugift;730 Randers;47137
2020K2 2020K2;U Ugift;741 Samsø;1270
2020K2 2020K2;U Ugift;740 Silkeborg;43961
2020K2 2020K2;U Ugift;746 Skanderborg;28934
2020K2 2020K2;U Ugift;706 Syddjurs;18097
2020K2 2020K2;U Ugift;751 Aarhus;208755
2020K2 2020K2;U Ugift;657 Herning;41911
2020K2 2020K2;U Ugift;661 Holstebro;27479
2020K2 2020K2;U Ugift;756 Ikast-Brande;18627
2020K2 2020K2;U Ugift;665 Lemvig;7922
2020K2 2020K2;U Ugift;760 Ringkøbing-Skjern;24236
2020K2 2020K2;U Ugift;779 Skive;20291
2020K2 2020K2;U Ugift;671 Struer;8539
2020K2 2020K2;U Ugift;791 Viborg;45455
2020K2 2020K2;U Ugift;081 Region Nordjylland;280425
2020K2 2020K2;U Ugift;810 Brønderslev;16310
2020K2 2020K2;U Ugift;813 Frederikshavn;24778
2020K2 2020K2;U Ugift;860 Hjørring;28589
2020K2 2020K2;U Ugift;849 Jammerbugt;16405
2020K2 2020K2;U Ugift;825 Læsø;605
2020K2 2020K2;U Ugift;846 Mariagerfjord;18163
2020K2 2020K2;U Ugift;773 Morsø;8742
2020K2 2020K2;U Ugift;840 Rebild;13617
2020K2 2020K2;U Ugift;787 Thisted;18710
2020K2 2020K2;U Ugift;820 Vesthimmerlands;16151
2020K2 2020K2;U Ugift;851 Aalborg;118355
2020K3 2020K3;U Ugift;000 Hele landet;2854659
2020K3 2020K3;U Ugift;084 Region Hovedstaden;977487
2020K3 2020K3;U Ugift;101 København;414218
2020K3 2020K3;U Ugift;147 Frederiksberg;60802
2020K3 2020K3;U Ugift;155 Dragør;5866
2020K3 2020K3;U Ugift;185 Tårnby;19945
2020K3 2020K3;U Ugift;165 Albertslund;13726
2020K3 2020K3;U Ugift;151 Ballerup;22667
2020K3 2020K3;U Ugift;153 Brøndby;16299
2020K3 2020K3;U Ugift;157 Gentofte;35169
2020K3 2020K3;U Ugift;159 Gladsaxe;34752
2020K3 2020K3;U Ugift;161 Glostrup;11386
2020K3 2020K3;U Ugift;163 Herlev;13810
2020K3 2020K3;U Ugift;167 Hvidovre;26581
